Academic Year,Program 1,Term 1,Program 2,Term 2,Need Category,Program Type 1
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,ACM London & Florence: Arts in Context,Spring,,,No,Other Sem./Year
2015-2016 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Biology 140/240: Introduction to Ecology of the Southwest/Ecology of the Southwest,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Environmental Studies 239: Environmental Policy in the Pacific Northwest,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,French 347: Introduction to Commercial French,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,,,No,Luther J-Term
2015-2016 Academic Year,French 347: Introduction to Commercial French,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,"Music 249: Listening Live in London, Glasgow, and the Isle of Skye",J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,International Student Teaching,Fall,,,Very Low,Intl. Teaching
2015-2016 Academic Year,International Student Teaching,Fall,,,Very Low,Intl. Teaching
2015-2016 Academic Year,"Paideia 450: Cold Wars Then and Now: Germany, Czech Republic, and Ukraine",Summer,,,Very Low,Summer
2015-2016 Academic Year,"Music 249: Listening Live in London, Glasgow, and the Isle of Skye",J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,ACM Jordan: Middle East & Arabic Language Studies,Fall,,,Very Low,Other Sem./Year
2015-2016 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,"ISA Valparaiso/ Vina del Mar, Chile: Latin American Studies & Courses with Locals- Academic Year/Semester",Spring,Very Low,Luther J-Term
2015-2016 Academic Year,International Student Teaching,Spring,,,Very Low,Intl. Teaching
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,"Art 290: Art in Cultural Perspective: European Art History, Gothic Renaissance, and the New Media Art",J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,International Student Teaching,Fall,,,Very Low,Intl. Teaching
2015-2016 Academic Year,USAC Norway: University of Oslo Undergraduate and Graduate Courses,Spring,,,Very Low,Other Sem./Year
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,Volda University College,Fall,,,Very Low,Other Sem./Year
2015-2016 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,"Art 290: Art in Cultural Perspective: European Art History, Gothic Renaissance, and the New Media Art",J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,Luther Nottingham Academic Year,Academic Year,,,Very Low,Luther Sem./Year
2015-2016 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,,,Very Low,Luther J-Term
2015-2016 Academic Year,Paideia 450: Stability and Change in Vietnam,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Kenchreai Field School,Summer,,,Low,Summer
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,"ISA Valparaiso/ Vina del Mar, Chile: Spanish Language & Latin American Studies - Summer",Summer,Low,Luther J-Term
2015-2016 Academic Year,Environmental Studies 239: Environmental Policy in the Pacific Northwest,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Projects Abroad - Nepal,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,CIS Abroad January in Costa Rica,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,Malta and the Mediterranean,Spring,Low,Luther J-Term
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Nottingham Summer Nursing,Summer,,,Low,Summer
2015-2016 Academic Year,"Paideia 450: Cold Wars Then and Now: Germany, Czech Republic, and Ukraine",Summer,,,Low,Summer
2015-2016 Academic Year,"CIEE Liberal Arts Program in Lima, Peru",Spring,,,Low,Other Sem./Year
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Paideia 450: Entrepreneurship and the Common Good,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Luther Nottingham Academic Year,Academic Year,,,Low,Luther Sem./Year
2015-2016 Academic Year,MÃƒÂ¼nster Semester,Spring,,,Low,Luther Sem./Year
2015-2016 Academic Year,Kenchreai Field School,Summer,,,Low,Summer
2015-2016 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Biology 140/240: Introduction to Ecology of the Southwest/Ecology of the Southwest,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,"ISA Salamanca, Spain: Linguistics, Literature, Translation & Other Courses with Locals- Academic Year/Semester",Fall,,,Low,Other Sem./Year
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Paideia 450: Entrepreneurship and the Common Good,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Paideia 450: Stability and Change in Vietnam,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,International Student Teaching,Spring,,,Low,Intl. Teaching
2015-2016 Academic Year,MÃƒÂ¼nster Semester,Spring,,,Low,Luther Sem./Year
2015-2016 Academic Year,"CIEE Development and Globalization Program in Khon Kaen, Thailand",Fall,,,Low,Other Sem./Year
2015-2016 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,International Student Teaching,Fall,,,Low,Intl. Teaching
2015-2016 Academic Year,International Student Teaching,Fall,,,Low,Intl. Teaching
2015-2016 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,"Art 290: Art in Cultural Perspective: European Art History, Gothic Renaissance, and the New Media Art",J-Term,,,Low,Luther J-Term
2015-2016 Academic Year,Environmental Studies 239: Environmental Policy in the Pacific Northwest,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,French 347: Introduction to Commercial French,J-Term,Projects Abroad,Summer,Med,Luther J-Term
2015-2016 Academic Year,Paideia 450: Stability and Change in Vietnam,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Paideia 450: Stability and Change in Vietnam,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,French 347: Introduction to Commercial French,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Malta and the Mediterranean,Spring,,,Med,Luther Sem./Year
2015-2016 Academic Year,Luther Nottingham Academic Year,Academic Year,,,Med,Luther Sem./Year
2015-2016 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Kenchreai Field School,Summer,,,Med,Summer
2015-2016 Academic Year,Biology 140/240: Introduction to Ecology of the Southwest/Ecology of the Southwest,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Malta and the Mediterranean,Spring,,,Med,Luther Sem./Year
2015-2016 Academic Year,"ACM Florence: Arts, Humanities, & Culture",Fall,,,Med,Other Sem./Year
2015-2016 Academic Year,University of Oslo International Summer School,Summer,,,Med,Summer
2015-2016 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"CIEE Liberal Arts Program in Santo Domingo, Dominican Republic",Fall,,,Med,Other Sem./Year
2015-2016 Academic Year,Luther Nottingham Academic Year,Academic Year,,,Med,Luther Sem./Year
2015-2016 Academic Year,International Student Teaching,Spring,,,Med,Intl. Teaching
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Paideia 450: Entrepreneurship and the Common Good,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Kenchreai Field School,Summer,,,Med,Summer
2015-2016 Academic Year,Luther Nottingham Academic Year,Academic Year,,,Med,Luther Sem./Year
2015-2016 Academic Year,Environmental Studies 239: Environmental Policy in the Pacific Northwest,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Environmental Studies 239: Environmental Policy in the Pacific Northwest,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,French 347: Introduction to Commercial French,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Projects Abroad,Summer,,,Med,Summer
2015-2016 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,"ACM Chicago Program: Arts, Entrepreneurship, & Social Justice",Spring,Med,Luther J-Term
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,API Semester Spanish Language and Culture Studies in Salamanca,Fall,,,Med,Other Sem./Year
2015-2016 Academic Year,International Student Teaching,Spring,,,Med,Intl. Teaching
2015-2016 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Paideia 450: Entrepreneurship and the Common Good,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,MÃƒÂ¼nster Semester,Spring,,,Med,Luther Sem./Year
2015-2016 Academic Year,Spanish Studies Abroad - Spanish Studies Program - Alicante,Spring,,,Med,Other Sem./Year
2015-2016 Academic Year,French 347: Introduction to Commercial French,J-Term,Luther Independent Study / Directed Reading / Internship,Summer,Med,Luther J-Term
2015-2016 Academic Year,IES Abroad Vienna - Music,Fall,,,Med,Other Sem./Year
2015-2016 Academic Year,"Art 290: Art in Cultural Perspective: European Art History, Gothic Renaissance, and the New Media Art",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"Art 290: Art in Cultural Perspective: European Art History, Gothic Renaissance, and the New Media Art",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,MÃƒÂ¼nster Semester,Spring,,,Med,Luther Sem./Year
2015-2016 Academic Year,Earth & Environment in Italy,Fall,,,Med,Luther Sem./Year
2015-2016 Academic Year,"Music 249: Listening Live in London, Glasgow, and the Isle of Skye",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"Art 290: Art in Cultural Perspective: European Art History, Gothic Renaissance, and the New Media Art",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Malta and the Mediterranean,Spring,,,Med,Luther Sem./Year
2015-2016 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Biology 140/240: Introduction to Ecology of the Southwest/Ecology of the Southwest,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,SIT Study Abroad Senegal: Global Security and Religious Pluralism,Spring,,,Med,Other Sem./Year
2015-2016 Academic Year,"Music 249: Listening Live in London, Glasgow, and the Isle of Skye",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"Art 290: Art in Cultural Perspective: European Art History, Gothic Renaissance, and the New Media Art",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Paideia 450: Stability and Change in Vietnam,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,French 347: Introduction to Commercial French,J-Term,Projects Abroad,Summer,Med,Luther J-Term
2015-2016 Academic Year,International Student Teaching,Spring,,,Med,Intl. Teaching
2015-2016 Academic Year,Paideia 450: Entrepreneurship and the Common Good,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"ISA Valparaiso/ Vina del Mar, Chile: Spanish Language & Latin American Studies - Academic Year/Semester",Spring,,,Med,Other Sem./Year
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,Med,Luther J-Term
2015-2016 Academic Year,API Business and Latin American Studies in Vina del Mar,Spring,,,High,Other Sem./Year
2015-2016 Academic Year,MÃƒÂ¼nster Semester,Spring,,,High,Luther Sem./Year
2015-2016 Academic Year,Paideia 450: Entrepreneurship and the Common Good,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Paideia 450: Stability and Change in Vietnam,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Paideia 450: Stability and Change in Vietnam,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,"Music 249: Listening Live in London, Glasgow, and the Isle of Skye",J-Term,,,High,Luther J-Term
2015-2016 Academic Year,The Education Abroad Network Australia Internship Program,Summer,,,High,Summer
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,"ACM Chicago Program: Arts, Entrepreneurship, & Social Justice",Spring,High,Luther J-Term
2015-2016 Academic Year,Biology 140/240: Introduction to Ecology of the Southwest/Ecology of the Southwest,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Paideia 450: Stability and Change in Vietnam,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,"Music 249: Listening Live in London, Glasgow, and the Isle of Skye",J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Environmental Studies 239: Environmental Policy in the Pacific Northwest,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Earth & Environment in Italy,Fall,,,High,Luther Sem./Year
2015-2016 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Luther Nottingham Academic Year,Academic Year,,,High,Luther Sem./Year
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Earth & Environment in Italy,Fall,,,High,Luther Sem./Year
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Malta and the Mediterranean,Spring,Kenchreai Field School,Summer,High,Luther Sem./Year
2015-2016 Academic Year,"Music 249: Listening Live in London, Glasgow, and the Isle of Skye",J-Term,,,High,Luther J-Term
2015-2016 Academic Year,"Paideia 450: Cold Wars Then and Now: Germany, Czech Republic, and Ukraine",Summer,,,High,Summer
2015-2016 Academic Year,Environmental Studies 239: Environmental Policy in the Pacific Northwest,J-Term,University of Oslo International Summer School,Summer,High,Luther J-Term
2015-2016 Academic Year,Biology 140/240: Introduction to Ecology of the Southwest/Ecology of the Southwest,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,"Music 249: Listening Live in London, Glasgow, and the Isle of Skye",J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Paideia 450: Stability and Change in Vietnam,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Biology 140/240: Introduction to Ecology of the Southwest/Ecology of the Southwest,J-Term,,,High,Luther J-Term
2015-2016 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,,,High,Luther J-Term
2015-2016 Academic Year,Kenchreai Field School,Summer,,,High,Summer
